what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1330882685351
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1330882686628
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1330882687333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882691498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882714334
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1330882714373
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1330882714373
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882725303
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882726436
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882737720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882739624
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882741640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882791439
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882893614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882894759
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882895773
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1330882896288
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1330882900251
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1330882900266
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1330882900282
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1330882900297
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.106.v200911241851,"org.eclipse.jst.ws.consumption.ui",1330882900297
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.408.v200911241817,"org.eclipse.jst.ws.consumption",1330882900297
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1330882900297
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1330882900297
stopped,bundle,org.eclipse.jst.ws,1.0.407.v200905191120,"org.eclipse.jst.ws",1330882900313
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.408.v200911241806,"org.eclipse.wst.ws.explorer",1330882900313
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1330882900313
stopped,bundle,org.eclipse.wst.ws.ui,1.1.100.v200903112221,"org.eclipse.wst.ws.ui",1330882900313
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1330882900516
